Time,Sonar Distance Measure (mm)
2023-10-01 03:30:12,615
2023-10-01 15:30:13,645
2023-10-02 04:20:12,490
2023-10-02 16:10:12,470
2023-10-03 16:50:13,821
2023-10-14 02:00:12,700
2023-10-14 14:20:13,710
2023-10-15 02:50:13,755
2023-10-15 14:40:12,820
2023-10-17 03:40:12,780
2023-10-17 16:00:17,670
2023-10-27 00:50:13,715
2023-10-27 13:00:13,760
2023-10-28 01:30:12,440
2023-10-28 13:40:13,560
2023-10-29 01:10:17,410
2023-10-29 13:10:13,375
2023-11-14 13:30:12,670
2023-11-15 02:00:13,731
2023-11-16 02:40:12,735
2023-11-27 00:50:12,700
2023-11-27 13:10:13,620
2023-11-28 01:30:13,610
2023-11-28 13:50:13,771
2023-11-29 14:30:13,665
2023-11-30 15:20:12,780
2023-12-13 01:00:13,800
2023-12-13 13:20:13,710
2023-12-15 02:40:13,770
2023-12-21 20:30:13,595
2023-12-25 11:40:12,755
2024-01-03 10:40:13,830
2024-01-13 14:50:12,450
2024-01-14 03:10:12,770
2024-01-14 15:40:12,530
2024-01-15 03:50:12,565
2024-01-17 18:10:12,785
2024-01-26 14:20:12,665
2024-01-29 15:50:17,675
2024-02-01 05:20:12,330
2024-02-02 03:40:13,810
2024-02-02 07:20:12,580
2024-02-10 01:20:12,810
2024-02-11 02:10:13,560
2024-02-12 02:50:12,555
2024-02-13 03:30:12,585
2024-02-14 04:20:12,430
2024-02-14 16:50:11,585
2024-02-15 05:10:13,630
2024-02-23 13:10:13,790
2024-02-25 02:00:12,800
2024-02-25 14:20:12,610
2024-02-26 02:30:12,370
2024-02-26 15:00:12,550
2024-03-09 12:50:12,675
2024-03-10 13:30:12,510
2024-03-11 02:00:12,625
2024-03-12 02:30:12,430
2024-03-12 15:00:12,380
2024-03-13 03:10:18,395
2024-03-13 16:00:13,695
2024-03-15 04:30:13,665
2024-03-16 05:10:12,600
2024-03-26 14:20:13,800
2024-03-27 02:50:13,830
2024-03-27 14:50:13,800
2024-03-28 03:00:13,740
2024-03-28 15:10:13,765
2024-03-29 15:30:13,795
2024-03-30 03:40:12,825
2024-04-07 13:10:13,690
2024-04-08 01:40:12,630
2024-04-09 14:50:13,700
2024-04-10 03:10:13,281
2024-04-10 15:30:11,450
2024-04-11 03:50:12,760
2024-04-11 16:20:12,470
2024-04-12 04:20:12,515
2024-04-13 05:20:12,780
2024-05-06 13:10:13,765
2024-05-07 13:50:12,670
2024-05-08 02:10:12,791
2024-05-08 14:40:13,740
2024-05-09 02:40:13,810
2024-05-09 15:20:12,725
2024-05-10 03:30:12,690
2024-05-10 16:00:13,810
2024-05-11 04:30:13,815
2024-07-23 15:50:12,790
2024-07-24 04:20:12,670
2024-07-26 05:50:13,770
2024-07-26 18:00:12,820
2024-08-21 15:30:12,720
2024-08-22 04:10:12,780
2024-08-23 04:40:13,405
2024-08-23 16:50:13,380
2024-08-24 05:30:13,530
2024-08-24 17:40:12,705
2024-08-25 06:10:12,805
2024-09-05 16:10:13,715
2024-09-18 02:30:13,690
2024-09-19 03:10:13,550
2024-09-19 15:20:13,595
2024-09-20 03:50:13,430
2024-09-20 15:50:13,470
2024-09-21 04:30:13,475
2024-09-21 16:40:12,435
2024-09-22 04:50:13,670
2024-09-22 17:10:13,560
