Time,Sonar Distance Measure (mm)
2023-10-02 04:20:12,490
2023-10-02 16:10:12,470
2023-10-28 01:30:12,440
2023-10-28 13:40:13,560
2023-10-29 01:10:17,410
2023-10-29 13:10:13,375
2024-01-13 14:50:12,450
2024-01-14 15:40:12,530
2024-01-15 03:50:12,565
2024-02-01 05:20:12,330
2024-02-11 02:10:13,560
2024-02-12 02:50:12,555
2024-02-14 04:20:12,430
2024-02-26 02:30:12,370
2024-02-26 15:00:12,550
2024-03-10 13:30:12,510
2024-03-12 02:30:12,430
2024-03-12 15:00:12,380
2024-03-13 03:10:18,395
2024-04-10 03:10:13,281
2024-04-10 15:30:11,450
2024-04-11 16:20:12,470
2024-04-12 04:20:12,515
2024-08-23 04:40:13,405
2024-08-23 16:50:13,380
2024-08-24 05:30:13,530
2024-09-19 03:10:13,550
2024-09-20 03:50:13,430
2024-09-20 15:50:13,470
2024-09-21 04:30:13,475
2024-09-21 16:40:12,435
2024-09-22 17:10:13,560
