"Time","Sonar Distance Measure (mm)"
2023-10-01 01:50:13,2690
2023-10-01 02:00:12,2425
2023-10-01 02:10:13,2180
2023-10-01 02:20:13,1875
2023-10-01 02:30:12,1560
2023-10-01 02:40:13,1275
2023-10-01 02:50:13,1020
2023-10-01 03:00:12,845
2023-10-01 03:10:13,690
2023-10-01 03:20:13,645
2023-10-01 03:30:12,615
2023-10-01 03:40:13,630
2023-10-01 03:50:13,675
2023-10-01 04:00:12,770
2023-10-01 04:10:13,930
2023-10-01 04:20:13,1155
2023-10-01 04:30:12,1415
2023-10-01 04:40:13,1675
2023-10-01 04:50:13,1930
2023-10-01 05:00:12,2180
2023-10-01 05:10:12,2445
2023-10-01 05:20:13,2625
2023-10-01 05:30:12,2830
2023-10-01 05:40:12,3060
2023-10-01 13:50:12,2500
2023-10-01 14:00:12,2325
2023-10-01 14:10:13,2145
2023-10-01 14:20:13,1905
2023-10-01 14:30:12,1710
2023-10-01 14:40:13,1515
2023-10-01 14:50:13,1295
2023-10-01 15:00:12,1070
2023-10-01 15:10:13,845
2023-10-01 15:20:13,710
2023-10-01 15:30:13,645
2023-10-01 15:40:12,655
2023-10-01 15:50:13,670
2023-10-01 16:00:13,690
2023-10-01 16:10:12,835
2023-10-01 16:20:13,1025
2023-10-01 16:30:13,1235
2023-10-01 16:40:12,1500
2023-10-01 16:50:12,1750
2023-10-01 17:00:13,1995
2023-10-01 17:10:13,2240
2023-10-01 17:20:12,2470
2023-10-01 17:30:13,2660
2023-10-01 17:40:13,2845
2023-10-02 01:50:13,3640
2023-10-02 02:00:12,3355
2023-10-02 02:10:13,3055
2023-10-02 02:20:13,2760
2023-10-02 02:30:13,2485
2023-10-02 02:40:13,2215
2023-10-02 02:50:13,1935
2023-10-02 03:00:13,1635
2023-10-02 03:10:12,1350
2023-10-02 03:20:12,1080
2023-10-02 03:30:13,850
2023-10-02 03:40:13,665
2023-10-02 03:50:12,560
2023-10-02 04:00:12,520
2023-10-02 04:10:12,495
2023-10-02 04:20:12,490
2023-10-02 04:30:13,520
2023-10-02 04:40:12,640
2023-10-02 04:50:13,815
2023-10-02 05:00:12,1040
2023-10-02 05:10:13,1305
2023-10-02 05:20:13,1550
2023-10-02 05:30:12,1825
2023-10-02 05:40:13,2075
2023-10-02 05:50:13,2330
2023-10-02 06:00:12,2575
2023-10-02 06:10:12,2755
2023-10-02 14:20:13,2120
2023-10-02 14:30:12,1955
2023-10-02 14:40:13,1775
2023-10-02 14:50:13,1615
2023-10-02 15:00:12,1445
2023-10-02 15:10:12,1285
2023-10-02 15:20:13,1105
2023-10-02 15:30:12,940
2023-10-02 15:40:13,765
2023-10-02 15:50:12,620
2023-10-02 16:00:11,510
2023-10-02 16:10:12,470
2023-10-02 16:20:11,500
2023-10-02 16:30:12,550
2023-10-02 16:40:12,660
2023-10-02 16:50:12,835
2023-10-02 17:00:13,1050
2023-10-02 17:10:12,1290
2023-10-02 17:20:12,1530
2023-10-02 17:30:13,1750
2023-10-02 17:40:13,1985
2023-10-02 17:50:12,2250
2023-10-03 02:20:13,3620
2023-10-03 02:30:13,3380
2023-10-03 02:40:12,3165
2023-10-03 02:50:13,2975
2023-10-03 03:00:13,2770
2023-10-03 03:10:12,2555
2023-10-03 03:20:13,2330
2023-10-03 03:30:13,2120
2023-10-03 03:40:12,1865
2023-10-03 03:50:13,1590
2023-10-03 04:00:12,1370
2023-10-03 04:10:13,1160
2023-10-03 04:20:13,995
2023-10-03 04:30:12,895
2023-10-03 04:40:12,895
2023-10-03 04:50:13,920
2023-10-03 05:00:13,955
2023-10-03 05:10:12,1020
2023-10-03 05:20:12,1150
2023-10-03 05:30:13,1320
2023-10-03 05:40:12,1520
2023-10-03 05:50:13,1730
2023-10-03 06:00:13,1940
2023-10-03 06:10:12,2185
2023-10-03 06:20:13,2355
2023-10-03 06:30:17,2525
2023-10-03 06:40:12,2720
2023-10-03 06:50:13,2960
2023-10-03 15:00:12,2330
2023-10-03 15:10:13,2160
2023-10-03 15:20:12,1975
2023-10-03 15:30:12,1800
2023-10-03 15:40:13,1640
2023-10-03 15:50:13,1525
2023-10-03 16:00:12,1355
2023-10-03 16:10:13,1155
2023-10-03 16:20:13,985
2023-10-03 16:30:12,885
2023-10-03 16:40:12,830
2023-10-03 16:50:13,821
2023-10-03 17:00:13,840
2023-10-03 17:10:12,910
2023-10-03 17:20:13,1025
2023-10-03 17:30:13,1195
2023-10-03 17:40:12,1370
2023-10-03 17:50:13,1605
2023-10-03 18:00:13,1815
2023-10-03 18:10:12,2055
2023-10-03 18:20:12,2235
2023-10-03 18:30:13,2330
2023-10-03 18:40:12,2545
2023-10-03 18:50:12,2785
2023-10-03 19:00:13,3015
2023-10-03 19:10:13,3215
2023-10-03 19:20:13,3410
2023-10-04 03:50:12,2195
2023-10-04 04:00:13,2005
2023-10-04 04:10:13,1805
2023-10-04 04:20:12,1615
2023-10-04 04:30:18,1445
2023-10-04 04:40:13,1275
2023-10-04 04:50:12,1115
2023-10-04 05:00:13,1005
2023-10-04 05:10:13,960
2023-10-04 05:20:12,945
2023-10-04 05:30:13,960
2023-10-04 05:40:13,1015
2023-10-04 05:50:17,1115
2023-10-04 06:00:13,1275
2023-10-04 06:10:13,1445
2023-10-04 06:20:12,1640
2023-10-04 06:30:12,1880
2023-10-04 06:40:13,2105
2023-10-04 06:50:13,2325
2023-10-04 07:00:12,2500
2023-10-04 07:10:13,2670
2023-10-04 07:20:13,2855
2023-10-04 07:30:12,3115
2023-10-04 07:40:13,3320
2023-10-04 15:50:12,2515
2023-10-04 16:00:12,2395
2023-10-04 16:10:13,2230
2023-10-04 16:20:13,2060
2023-10-04 16:30:12,1905
2023-10-04 16:40:12,1755
2023-10-04 16:50:13,1620
2023-10-04 17:00:12,1495
2023-10-04 17:10:13,1370
2023-10-04 17:20:13,1305
2023-10-04 17:30:12,1295
2023-10-04 17:40:12,1290
2023-10-04 17:50:13,1315
2023-10-04 18:00:12,1390
2023-10-04 18:10:12,1535
2023-10-04 18:20:13,1710
2023-10-04 18:30:13,1915
2023-10-04 18:40:13,2095
2023-10-04 18:50:12,2325
2023-10-04 19:00:12,2540
2023-10-04 19:10:13,2675
2023-10-04 19:20:12,2890
2023-10-04 19:30:12,3110
2023-10-04 19:40:13,3310
2023-10-04 19:50:13,3510
2023-10-05 04:10:13,3055
2023-10-05 04:20:13,2865
2023-10-05 04:30:12,2685
2023-10-05 04:40:13,2525
2023-10-05 04:50:13,2345
2023-10-05 05:00:12,2165
2023-10-05 05:10:13,1975
2023-10-05 05:20:13,1820
2023-10-05 05:30:12,1695
2023-10-05 05:40:13,1605
2023-10-05 05:50:12,1530
2023-10-05 06:00:17,1475
2023-10-05 06:10:17,1465
2023-10-05 06:20:13,1510
2023-10-05 06:30:12,1585
2023-10-05 06:40:12,1695
2023-10-05 06:50:18,1850
2023-10-05 07:00:13,2025
2023-10-05 07:10:12,2220
2023-10-05 07:20:12,2415
2023-10-05 07:30:13,2625
2023-10-05 07:40:12,2775
2023-10-05 07:50:12,2965
2023-10-05 08:00:13,3170
2023-10-05 16:10:13,2725
2023-10-05 16:20:13,2585
2023-10-05 16:30:12,2455
2023-10-05 16:40:13,2315
2023-10-05 16:50:13,2175
2023-10-05 17:00:12,2040
2023-10-05 17:10:13,1900
2023-10-05 17:20:13,1785
2023-10-05 17:30:12,1670
2023-10-05 17:40:13,1575
2023-10-05 17:50:13,1505
2023-10-05 18:00:12,1485
2023-10-05 18:10:13,1495
2023-10-05 18:20:18,1515
