Start Time,End Time,Duration (minutes)
2023-10-01 03:10:13,2023-10-01 04:10:13,60
2023-10-01 15:20:13,2023-10-01 16:10:12,50
2023-10-02 03:40:13,2023-10-02 05:00:12,80
2023-10-02 15:40:13,2023-10-02 16:50:12,70
2023-10-03 16:50:13,2023-10-03 17:00:13,10
2023-10-14 01:40:12,2023-10-14 02:30:13,50
2023-10-14 14:00:17,2023-10-14 14:40:13,40
2023-10-15 02:40:13,2023-10-15 03:10:13,30
2023-10-15 14:40:12,2023-10-15 15:00:13,20
2023-10-17 03:30:12,2023-10-17 04:10:12,40
2023-10-17 15:30:13,2023-10-17 16:30:12,60
2023-10-27 00:30:12,2023-10-27 01:20:13,50
2023-10-27 12:40:13,2023-10-27 13:20:12,40
2023-10-28 00:50:13,2023-10-28 02:20:13,90
2023-10-28 13:10:13,2023-10-28 14:20:13,70
2023-10-29 00:40:17,2023-10-29 02:00:12,80
2023-10-29 12:40:12,2023-10-29 14:00:15,80
2023-11-14 13:10:13,2023-11-14 14:10:13,60
2023-11-15 01:40:13,2023-11-15 02:20:12,40
2023-11-16 02:30:12,2023-11-16 03:10:12,40
2023-11-27 00:40:12,2023-11-27 01:20:12,40
2023-11-27 12:40:12,2023-11-27 13:40:13,60
2023-11-28 01:10:12,2023-11-28 02:10:12,60
2023-11-28 13:40:13,2023-11-28 14:20:13,40
2023-11-29 14:10:12,2023-11-29 15:00:13,50
2023-11-30 15:00:13,2023-11-30 15:40:12,40
2023-12-13 00:50:13,2023-12-13 01:30:13,40
2023-12-13 13:00:13,2023-12-13 14:00:13,60
2023-12-15 02:20:13,2023-12-15 02:50:13,30
2023-12-21 19:50:12,2023-12-21 21:30:13,100
2023-12-25 11:30:13,2023-12-25 12:00:13,30
2024-01-13 14:20:12,2024-01-13 15:40:12,80
2024-01-14 03:00:13,2024-01-14 03:30:12,30
2024-01-14 15:10:12,2024-01-14 16:20:13,70
2024-01-15 03:30:13,2024-01-15 04:40:12,70
2024-01-17 17:50:12,2024-01-17 18:30:13,40
2024-01-26 14:00:13,2024-01-26 14:50:12,50
2024-01-29 15:20:13,2024-01-29 16:20:13,60
2024-02-01 04:30:13,2024-02-01 06:10:13,100
2024-02-02 03:40:13,2024-02-02 03:50:13,10
2024-02-02 07:20:12,2024-02-02 07:30:13,10
2024-02-10 01:20:12,2024-02-10 01:40:13,20
2024-02-11 01:40:13,2024-02-11 02:50:13,70
2024-02-12 02:20:13,2024-02-12 03:30:12,70
2024-02-13 03:10:13,2024-02-13 04:10:12,60
2024-02-14 03:40:12,2024-02-14 05:00:12,80
2024-02-14 16:20:12,2024-02-14 17:30:12,70
2024-02-15 04:30:13,2024-02-15 05:30:12,60
2024-02-23 13:10:13,2024-02-23 13:30:13,20
2024-02-25 01:50:12,2024-02-25 02:20:13,30
2024-02-25 14:00:13,2024-02-25 15:00:12,60
2024-02-26 01:50:13,2024-02-26 03:30:13,100
2024-02-26 14:40:12,2024-02-26 15:40:12,60
2024-03-09 12:30:13,2024-03-09 13:20:12,50
2024-03-10 13:00:13,2024-03-10 14:20:13,80
2024-03-11 01:30:12,2024-03-11 02:30:12,60
2024-03-12 02:00:13,2024-03-12 03:20:12,80
2024-03-12 14:30:13,2024-03-12 15:50:13,80
2024-03-13 02:40:13,2024-03-13 04:00:13,80
2024-03-13 15:30:12,2024-03-13 16:20:12,50
2024-03-15 04:10:12,2024-03-15 05:00:13,50
2024-03-16 04:40:13,2024-03-16 05:50:12,70
2024-03-26 14:20:13,2024-03-26 14:40:12,20
2024-03-27 14:40:13,2024-03-27 15:00:13,20
2024-03-28 02:40:12,2024-03-28 03:30:13,50
2024-03-28 15:00:12,2024-03-28 15:40:13,40
2024-03-29 15:30:13,2024-03-29 15:50:12,20
2024-03-30 03:40:12,2024-03-30 03:50:12,10
2024-04-07 12:50:12,2024-04-07 13:50:12,60
2024-04-08 01:10:13,2024-04-08 02:10:12,60
2024-04-09 14:30:13,2024-04-09 15:20:13,50
2024-04-10 02:20:13,2024-04-10 04:30:12,130
2024-04-10 14:20:13,2024-04-10 16:20:13,120
2024-04-11 03:40:13,2024-04-11 04:10:13,30
2024-04-11 15:50:12,2024-04-11 17:10:12,80
2024-04-12 03:50:13,2024-04-12 05:10:13,80
2024-04-13 05:00:12,2024-04-13 05:40:13,40
2024-05-06 12:50:12,2024-05-06 13:30:13,40
2024-05-07 13:30:12,2024-05-07 14:30:13,60
2024-05-08 01:50:13,2024-05-08 02:30:12,40
2024-05-08 14:20:13,2024-05-08 15:10:13,50
2024-05-09 02:40:13,2024-05-09 03:10:13,30
2024-05-09 15:00:13,2024-05-09 15:50:12,50
2024-05-10 03:10:13,2024-05-10 04:00:12,50
2024-05-10 16:00:13,2024-05-10 16:20:13,20
