,result,table,_time,water_height_mm
,_result,0,2025-01-01T00:00:12.994451886Z,5003
,_result,0,2025-01-01T00:10:13.486993816Z,5003
,_result,0,2025-01-01T00:20:12.893946448Z,3900
,_result,0,2025-01-01T00:30:13.304919435Z,3650
,_result,0,2025-01-01T00:40:12.998382069Z,3395
,_result,0,2025-01-01T00:50:13.449841336Z,3145
,_result,0,2025-01-01T01:00:12.847415447Z,2880
,_result,0,2025-01-01T01:10:13.334929407Z,2645
,_result,0,2025-01-01T01:20:12.720366668Z,2475
,_result,0,2025-01-01T01:30:13.13808033Z,2340
,_result,0,2025-01-01T01:40:13.647966644Z,2235
,_result,0,2025-01-01T01:50:13.094195253Z,2125
,_result,0,2025-01-01T02:00:13.470948465Z,2035
,_result,0,2025-01-01T02:10:12.947003467Z,2015
,_result,0,2025-01-01T02:20:13.590174531Z,2060
,_result,0,2025-01-01T02:30:13.000097138Z,2150
,_result,0,2025-01-01T02:40:13.500109259Z,2255
,_result,0,2025-01-01T02:50:12.890018748Z,2340
,_result,0,2025-01-01T03:00:13.309034531Z,2495
,_result,0,2025-01-01T03:10:12.799401191Z,2600
,_result,0,2025-01-01T03:20:13.239469715Z,2725
,_result,0,2025-01-01T03:30:12.591896002Z,2930
,_result,0,2025-01-01T03:40:12.982889158Z,3165
,_result,0,2025-01-01T03:50:13.725503751Z,5003
,_result,0,2025-01-01T04:00:13.137938345Z,5003
,_result,0,2025-01-01T04:10:13.540327844Z,5003
,_result,0,2025-01-01T04:20:12.892773052Z,5003
,_result,0,2025-01-01T04:30:13.30158287Z,5003
,_result,0,2025-01-01T04:40:12.66454117Z,5003
,_result,0,2025-01-01T04:50:13.066815413Z,5003
,_result,0,2025-01-01T05:00:13.431217152Z,5003
,_result,0,2025-01-01T05:10:12.820660791Z,5003
,_result,0,2025-01-01T05:20:13.251509585Z,5003
,_result,0,2025-01-01T05:30:12.650325836Z,5003
,_result,0,2025-01-01T05:40:13.036011672Z,5003
,_result,0,2025-01-01T05:50:13.633270362Z,5003
,_result,0,2025-01-01T06:00:13.309023696Z,5003
,_result,0,2025-01-01T06:10:12.739477403Z,5003
,_result,0,2025-01-01T06:20:13.08479519Z,5003
,_result,0,2025-01-01T06:30:13.471644365Z,5003
,_result,0,2025-01-01T06:40:12.862086398Z,5003
,_result,0,2025-01-01T06:50:13.294013152Z,5003
,_result,0,2025-01-01T07:00:12.722258269Z,5003
,_result,0,2025-01-01T07:10:13.421103913Z,5003
,_result,0,2025-01-01T07:20:12.796161532Z,5003
,_result,0,2025-01-01T07:30:13.171939594Z,5003
,_result,0,2025-01-01T07:40:12.580192835Z,5003
,_result,0,2025-01-01T07:50:12.988051553Z,5003
,_result,0,2025-01-01T08:00:13.380036872Z,5003
,_result,0,2025-01-01T08:10:12.84174591Z,5003
,_result,0,2025-01-01T08:20:13.14541318Z,5003
,_result,0,2025-01-01T08:30:13.510127511Z,5003
,_result,0,2025-01-01T08:40:12.903697475Z,5003
,_result,0,2025-01-01T08:50:13.267294682Z,5003
,_result,0,2025-01-01T09:00:12.732868854Z,5003
,_result,0,2025-01-01T09:10:13.168114946Z,5003
,_result,0,2025-01-01T09:20:13.571209316Z,5003
,_result,0,2025-01-01T09:30:12.976707306Z,5003
,_result,0,2025-01-01T09:40:13.237600177Z,5003
,_result,0,2025-01-01T09:50:13.438905724Z,5003
,_result,0,2025-01-01T10:00:12.764125685Z,5003
,_result,0,2025-01-01T10:10:13.071213848Z,5003
,_result,0,2025-01-01T10:20:13.297786983Z,5003
,_result,0,2025-01-01T10:30:12.68332507Z,5003
,_result,0,2025-01-01T10:40:12.935752751Z,5003
,_result,0,2025-01-01T10:50:13.144226788Z,5003
,_result,0,2025-01-01T11:00:13.519920544Z,5003
,_result,0,2025-01-01T11:10:12.921273903Z,5003
,_result,0,2025-01-01T11:20:13.321134457Z,5003
,_result,0,2025-01-01T11:30:12.71504866Z,5003
,_result,0,2025-01-01T11:40:13.065739165Z,5003
,_result,0,2025-01-01T11:50:13.370787942Z,5003
,_result,0,2025-01-01T12:00:12.81310319Z,5003
,_result,0,2025-01-01T12:10:13.22506394Z,3850
,_result,0,2025-01-01T12:20:12.615748832Z,3645
,_result,0,2025-01-01T12:30:13.015109775Z,3375
,_result,0,2025-01-01T12:40:13.389093398Z,3115
,_result,0,2025-01-01T12:50:12.990271871Z,2835
,_result,0,2025-01-01T13:00:13.387987716Z,2585
,_result,0,2025-01-01T13:10:12.81541942Z,2345
,_result,0,2025-01-01T13:20:13.145762105Z,2165
,_result,0,2025-01-01T13:30:12.560199629Z,2020
,_result,0,2025-01-01T13:40:12.968025058Z,1880
,_result,0,2025-01-01T13:50:13.454620236Z,1785
,_result,0,2025-01-01T14:00:12.888951943Z,1710
,_result,0,2025-01-01T14:10:13.282574734Z,1695
,_result,0,2025-01-01T14:20:12.633265184Z,1660
,_result,0,2025-01-01T14:30:13.043259329Z,1705
,_result,0,2025-01-01T14:40:13.412720602Z,1755
,_result,0,2025-01-01T14:50:12.784428172Z,1905
,_result,0,2025-01-01T15:00:13.17845453Z,2075
,_result,0,2025-01-01T15:10:12.613494542Z,2230
,_result,0,2025-01-01T15:20:12.97634686Z,2340
,_result,0,2025-01-01T15:30:13.359372471Z,2385
,_result,0,2025-01-01T15:40:12.616263342Z,2555
,_result,0,2025-01-01T15:50:13.260600433Z,2745
,_result,0,2025-01-01T16:00:12.634582104Z,2950
,_result,0,2025-01-01T16:10:13.047589874Z,3135
,_result,0,2025-01-01T16:20:13.451460973Z,3340
,_result,0,2025-01-01T16:30:12.918078124Z,3495
,_result,0,2025-01-01T16:40:13.297213181Z,3665
,_result,0,2025-01-01T16:50:12.627200048Z,3795
,_result,0,2025-01-01T17:00:13.037519773Z,3910
,_result,0,2025-01-01T17:10:13.422206397Z,4010
,_result,0,2025-01-01T17:20:12.849328432Z,4000
,_result,0,2025-01-01T17:30:13.264089273Z,5003
,_result,0,2025-01-01T17:40:12.911393206Z,5003
,_result,0,2025-01-01T17:50:13.279096585Z,5003
,_result,0,2025-01-01T18:00:12.611830643Z,5003
,_result,0,2025-01-01T18:10:12.967015388Z,5003
,_result,0,2025-01-01T18:20:13.394319842Z,5003
,_result,0,2025-01-01T18:30:12.762160278Z,5003
,_result,0,2025-01-01T18:40:13.089361197Z,5003
,_result,0,2025-01-01T18:50:13.424256301Z,5003
,_result,0,2025-01-01T19:00:12.827380207Z,5003
,_result,0,2025-01-01T19:10:13.183167436Z,5003
,_result,0,2025-01-01T19:20:12.533010065Z,5003
,_result,0,2025-01-01T19:30:12.895016711Z,5003
,_result,0,2025-01-01T19:40:13.313998176Z,5003
,_result,0,2025-01-01T19:50:12.679303551Z,5003
,_result,0,2025-01-01T20:00:13.055362756Z,5003
,_result,0,2025-01-01T20:10:13.462697756Z,5003
,_result,0,2025-01-01T20:20:12.789981113Z,5003
,_result,0,2025-01-01T20:30:13.17117978Z,5003
,_result,0,2025-01-01T20:40:12.444871976Z,5003
,_result,0,2025-01-01T20:50:12.901933719Z,5003
,_result,0,2025-01-01T21:00:13.602864754Z,5003
,_result,0,2025-01-01T21:10:12.936475303Z,5003
,_result,0,2025-01-01T21:20:13.330218503Z,5003
,_result,0,2025-01-01T21:30:12.692489559Z,5003
,_result,0,2025-01-01T21:40:13.14585125Z,5003
,_result,0,2025-01-01T21:50:13.556269709Z,5003
,_result,0,2025-01-01T22:00:12.960677533Z,5003
,_result,0,2025-01-01T22:10:13.282994693Z,5003
,_result,0,2025-01-01T22:20:12.638650679Z,5003
,_result,0,2025-01-01T22:30:13.000119916Z,5003
,_result,0,2025-01-01T22:40:13.359879645Z,5003
,_result,0,2025-01-01T22:50:12.768257868Z,5003
,_result,0,2025-01-01T23:00:13.100165981Z,5003
,_result,0,2025-01-01T23:10:13.468175729Z,5003
,_result,0,2025-01-01T23:20:12.803924562Z,3985
,_result,0,2025-01-01T23:30:13.180581415Z,3680
,_result,0,2025-01-01T23:40:12.650908726Z,3360
,_result,0,2025-01-01T23:50:13.026990551Z,2995
,_result,0,2025-01-02T00:00:13.466996219Z,2645
,_result,0,2025-01-02T00:10:12.863335105Z,2405
,_result,0,2025-01-02T00:20:13.231304262Z,2140
,_result,0,2025-01-02T00:30:12.562604457Z,1925
,_result,0,2025-01-02T00:40:12.951337953Z,1720
,_result,0,2025-01-02T00:50:13.317635623Z,1520
,_result,0,2025-01-02T01:00:12.656921831Z,1365
,_result,0,2025-01-02T01:10:13.072241669Z,1230
,_result,0,2025-01-02T01:20:13.541245924Z,1110
,_result,0,2025-01-02T01:30:12.867210311Z,1005
,_result,0,2025-01-02T01:40:13.594495568Z,910
,_result,0,2025-01-02T01:50:12.968531442Z,815
,_result,0,2025-01-02T02:00:13.382324977Z,715
,_result,0,2025-01-02T02:10:12.729288814Z,650
,_result,0,2025-01-02T02:20:13.124215318Z,615
,_result,0,2025-01-02T02:30:13.470492861Z,615
,_result,0,2025-01-02T02:40:12.842681916Z,660
,_result,0,2025-01-02T02:50:13.239526527Z,780
,_result,0,2025-01-02T03:00:12.595533073Z,935
,_result,0,2025-01-02T03:10:12.955949001Z,1115
,_result,0,2025-01-02T03:20:13.331120712Z,1275
,_result,0,2025-01-02T03:30:12.819772525Z,1450
,_result,0,2025-01-02T03:40:13.217763852Z,1615
,_result,0,2025-01-02T03:50:12.640474392Z,1835
,_result,0,2025-01-02T04:00:12.988227407Z,1945
,_result,0,2025-01-02T04:10:13.419316372Z,2110
,_result,0,2025-01-02T04:20:12.801568904Z,2305
,_result,0,2025-01-02T04:30:13.135762279Z,2530
,_result,0,2025-01-02T04:40:12.53353438Z,2750
,_result,0,2025-01-02T04:50:12.938757382Z,2895
,_result,0,2025-01-02T05:00:13.320792462Z,3125
,_result,0,2025-01-02T05:10:12.707197874Z,3340
