,result,table,_time,water_height_mm
,_result,0,2024-01-01T00:31:19.195499119Z,5.86
,_result,0,2024-01-01T02:01:08.003676848Z,5.86
,_result,0,2024-01-01T02:31:04.72652552Z,5.86
,_result,0,2024-01-01T02:46:08.476008414Z,5.85
,_result,0,2024-01-01T03:01:03.16025579Z,5.85
,_result,0,2024-01-01T03:16:03.099771673Z,5.85
,_result,0,2024-01-01T03:31:02.925402508Z,5.86
,_result,0,2024-01-01T03:46:03.126271082Z,5.86
,_result,0,2024-01-01T04:01:03.312727621Z,5.86
,_result,0,2024-01-01T04:16:02.401556937Z,5.86
,_result,0,2024-01-01T04:31:05.205938438Z,5.86
,_result,0,2024-01-01T04:46:03.037405912Z,5.86
,_result,0,2024-01-01T05:01:02.99738039Z,5.86
,_result,0,2024-01-01T05:16:10.453983294Z,5.86
,_result,0,2024-01-01T05:31:06.642113333Z,5.86
,_result,0,2024-01-01T05:46:02.688969064Z,5.86
,_result,0,2024-01-01T06:01:02.710532044Z,5.85
,_result,0,2024-01-01T06:16:02.615575776Z,5.85
,_result,0,2024-01-01T06:31:12.928634174Z,5.85
,_result,0,2024-01-01T06:46:03.010746361Z,5.85
,_result,0,2024-01-01T07:01:33.952940747Z,5.85
,_result,0,2024-01-01T07:16:07.818635415Z,5.85
,_result,0,2024-01-01T07:31:07.672913504Z,5.85
,_result,0,2024-01-01T07:46:05.030458697Z,5.86
,_result,0,2024-01-01T08:01:05.912219842Z,5.86
,_result,0,2024-01-01T08:16:02.724754822Z,5.86
,_result,0,2024-01-01T08:31:11.145121558Z,5.86
,_result,0,2024-01-01T08:46:07.368138287Z,5.85
,_result,0,2024-01-01T09:16:03.350962388Z,5.85
,_result,0,2024-01-01T09:31:03.588429266Z,5.84
,_result,0,2024-01-01T09:46:04.034812693Z,5.84
,_result,0,2024-01-01T10:01:43.892265823Z,5.84
,_result,0,2024-01-01T10:16:03.343020993Z,5.84
,_result,0,2024-01-01T10:31:03.714920222Z,5.84
,_result,0,2024-01-01T10:46:03.396829313Z,5.84
,_result,0,2024-01-01T11:01:02.450019559Z,5.84
,_result,0,2024-01-01T11:16:03.493997643Z,5.84
,_result,0,2024-01-01T11:31:03.620216525Z,5.84
,_result,0,2024-01-01T11:46:03.175845632Z,5.84
,_result,0,2024-01-01T12:01:03.299064Z,5.84
,_result,0,2024-01-01T12:16:03.624802775Z,5.84
,_result,0,2024-01-01T12:31:02.979006983Z,5.84
,_result,0,2024-01-01T12:46:03.070974336Z,5.84
,_result,0,2024-01-01T13:01:03.281326118Z,5.84
,_result,0,2024-01-01T13:16:02.841044434Z,5.84
,_result,0,2024-01-01T13:31:03.161167062Z,5.84
,_result,0,2024-01-01T13:46:02.706352414Z,5.84
,_result,0,2024-01-01T14:01:03.53817106Z,5.84
,_result,0,2024-01-01T14:16:02.643247027Z,5.84
,_result,0,2024-01-01T14:31:02.828295629Z,5.84
,_result,0,2024-01-01T14:46:04.801229202Z,5.85
,_result,0,2024-01-01T15:01:03.782306783Z,5.85
,_result,0,2024-01-01T15:16:02.382981595Z,5.85
,_result,0,2024-01-01T15:31:03.322831915Z,5.85
,_result,0,2024-01-01T15:46:03.078877665Z,5.84
,_result,0,2024-01-01T16:01:03.496748817Z,5.84
,_result,0,2024-01-01T16:16:02.683841876Z,5.84
,_result,0,2024-01-01T16:31:02.68974579Z,5.84
,_result,0,2024-01-01T16:46:04.303281478Z,5.85
,_result,0,2024-01-01T17:01:11.873123564Z,5.85
,_result,0,2024-01-01T17:16:03.5149978Z,5.85
,_result,0,2024-01-01T17:31:02.953855819Z,5.85
,_result,0,2024-01-01T17:46:03.285013197Z,5.85
,_result,0,2024-01-01T18:01:02.976104557Z,5.85
,_result,0,2024-01-01T18:16:03.301622112Z,5.85
,_result,0,2024-01-01T18:31:03.083688549Z,5.85
,_result,0,2024-01-01T18:46:03.377867245Z,5.85
,_result,0,2024-01-01T19:01:03.498309055Z,5.85
,_result,0,2024-01-01T19:16:02.521093739Z,5.85
,_result,0,2024-01-01T19:31:02.843478491Z,5.85
,_result,0,2024-01-01T19:46:02.631842716Z,5.85
,_result,0,2024-01-01T20:01:03.063016193Z,5.85
,_result,0,2024-01-01T20:16:04.249947556Z,5.85
,_result,0,2024-01-01T20:31:04.698782435Z,5.86
,_result,0,2024-01-01T20:46:03.920791648Z,5.86
,_result,0,2024-01-01T21:01:04.02302802Z,5.87
,_result,0,2024-01-01T21:16:03.726837366Z,5.87
,_result,0,2024-01-01T21:31:05.165061756Z,5.88
,_result,0,2024-01-01T21:46:05.790374521Z,5.89
,_result,0,2024-01-01T22:01:04.913905478Z,5.89
,_result,0,2024-01-01T22:16:03.727531522Z,5.89
,_result,0,2024-01-01T22:31:03.994866992Z,5.89
,_result,0,2024-01-01T22:46:03.217227492Z,5.89
,_result,0,2024-01-01T23:01:03.37119269Z,5.89
,_result,0,2024-01-01T23:16:03.082840042Z,5.91
,_result,0,2024-01-01T23:31:03.488147264Z,5.91
,_result,0,2024-01-01T23:46:03.024401899Z,5.91
,_result,0,2024-01-02T00:01:02.933725221Z,5.92
,_result,0,2024-01-02T00:16:03.219827698Z,5.93
,_result,0,2024-01-02T00:31:03.191309713Z,5.93
,_result,0,2024-01-02T00:46:02.808197976Z,5.93
,_result,0,2024-01-02T01:01:03.301175067Z,5.93
,_result,0,2024-01-02T01:16:02.693638693Z,5.94
,_result,0,2024-01-02T01:31:02.588282382Z,5.94
,_result,0,2024-01-02T01:46:02.749661737Z,5.94
,_result,0,2024-01-02T02:01:02.858598071Z,5.94
,_result,0,2024-01-02T02:16:03.231633071Z,5.95
,_result,0,2024-01-02T02:31:02.630036167Z,5.95
,_result,0,2024-01-02T02:46:02.696556252Z,5.95
,_result,0,2024-01-02T03:01:03.088087256Z,5.95
,_result,0,2024-01-02T03:16:03.05976064Z,5.95
,_result,0,2024-01-02T03:31:02.947758733Z,5.95
,_result,0,2024-01-02T03:46:02.914856452Z,5.95
,_result,0,2024-01-02T04:01:03.011666917Z,5.95
,_result,0,2024-01-02T04:16:03.249714996Z,5.94
,_result,0,2024-01-02T04:31:03.393189294Z,5.94
,_result,0,2024-01-02T04:46:02.82225306Z,5.93
,_result,0,2024-01-02T05:01:02.811901308Z,5.93
,_result,0,2024-01-02T05:16:04.901196215Z,5.92
,_result,0,2024-01-02T05:31:02.456524474Z,5.92
,_result,0,2024-01-02T05:46:09.801860377Z,5.92
,_result,0,2024-01-02T06:01:05.136572816Z,5.92
,_result,0,2024-01-02T06:16:04.581823366Z,5.92
,_result,0,2024-01-02T06:31:04.422591088Z,5.92
,_result,0,2024-01-02T06:46:02.906832382Z,5.91
,_result,0,2024-01-02T07:01:03.831316719Z,5.91
,_result,0,2024-01-02T07:16:02.457627105Z,5.9
,_result,0,2024-01-02T07:31:03.255139468Z,5.9
,_result,0,2024-01-02T07:46:03.336978529Z,5.89
,_result,0,2024-01-02T08:01:02.567179422Z,5.89
,_result,0,2024-01-02T08:16:02.517974862Z,5.89
,_result,0,2024-01-02T08:31:02.683965743Z,5.89
,_result,0,2024-01-02T08:46:03.437747775Z,5.89
,_result,0,2024-01-02T09:01:02.98198843Z,5.89
,_result,0,2024-01-02T09:16:03.109481782Z,5.9
,_result,0,2024-01-02T09:31:03.279450199Z,5.9
,_result,0,2024-01-02T09:46:03.595649323Z,5.9
,_result,0,2024-01-02T10:01:02.923335285Z,5.89
,_result,0,2024-01-02T10:16:03.143421514Z,5.9
,_result,0,2024-01-02T10:31:04.840550382Z,5.9
,_result,0,2024-01-02T10:46:03.68480021Z,5.9
,_result,0,2024-01-02T11:01:02.654988224Z,5.91
,_result,0,2024-01-02T11:16:02.526738814Z,5.93
,_result,0,2024-01-02T11:31:03.417508958Z,5.93
,_result,0,2024-01-02T11:46:02.629620667Z,5.94
,_result,0,2024-01-02T12:01:02.568135523Z,5.96
,_result,0,2024-01-02T12:16:02.876652426Z,5.98
,_result,0,2024-01-02T12:31:03.275516677Z,5.98
,_result,0,2024-01-02T12:46:05.992839568Z,5.99
,_result,0,2024-01-02T13:01:03.394269066Z,5.99
,_result,0,2024-01-02T13:16:04.44736871Z,6
,_result,0,2024-01-02T13:31:02.874303515Z,6.01
,_result,0,2024-01-02T13:46:03.830141484Z,6.02
,_result,0,2024-01-02T14:01:03.609679048Z,6.03
,_result,0,2024-01-02T14:16:03.424019695Z,6.05
,_result,0,2024-01-02T14:31:03.443755761Z,6.06
,_result,0,2024-01-02T14:46:02.561120473Z,6.08
,_result,0,2024-01-02T15:01:02.934164799Z,6.09
,_result,0,2024-01-02T15:16:02.977615714Z,6.11
,_result,0,2024-01-02T15:31:03.095168529Z,6.11
