,result,table,_time,water_height_mm
,_result,0,2025-01-01T00:01:03.535927138Z,-0.05
,_result,0,2025-01-01T00:16:03.664009122Z,0.24
,_result,0,2025-01-01T00:31:03.198359462Z,0.61
,_result,0,2025-01-01T00:46:02.949145426Z,0.95
,_result,0,2025-01-01T01:01:03.047428427Z,0.95
,_result,0,2025-01-01T01:16:08.784181098Z,1.6
,_result,0,2025-01-01T01:31:03.53524723Z,1.9
,_result,0,2025-01-01T01:46:03.45874749Z,2.18
,_result,0,2025-01-01T02:01:03.663475387Z,2.38
,_result,0,2025-01-01T02:16:04.273008953Z,2.51
,_result,0,2025-01-01T02:31:03.525398953Z,2.58
,_result,0,2025-01-01T02:46:04.870069195Z,2.57
,_result,0,2025-01-01T03:01:04.310110086Z,2.47
,_result,0,2025-01-01T03:16:02.996060813Z,2.32
,_result,0,2025-01-01T03:31:03.614205214Z,2.32
,_result,0,2025-01-01T03:46:02.599665278Z,2.32
,_result,0,2025-01-01T04:01:04.025178839Z,1.38
,_result,0,2025-01-01T04:16:03.29186827Z,1.07
,_result,0,2025-01-01T04:31:19.726734014Z,1.07
,_result,0,2025-01-01T04:46:02.945150566Z,0.35
,_result,0,2025-01-01T05:01:03.109281147Z,0.35
,_result,0,2025-01-01T05:16:02.899329259Z,-0.24
,_result,0,2025-01-01T05:31:03.08883039Z,-0.24
,_result,0,2025-01-01T05:46:03.148758685Z,-0.88
,_result,0,2025-01-01T06:01:03.704510367Z,-0.88
,_result,0,2025-01-01T06:16:04.143167958Z,-1.42
,_result,0,2025-01-01T06:31:02.900721008Z,-1.42
,_result,0,2025-01-01T06:46:05.057254176Z,-1.95
,_result,0,2025-01-01T07:01:02.678711811Z,-1.95
,_result,0,2025-01-01T07:16:03.440644404Z,-2.33
,_result,0,2025-01-01T07:31:02.373809415Z,-2.33
,_result,0,2025-01-01T07:46:03.16058775Z,-2.63
,_result,0,2025-01-01T08:01:02.531580243Z,-2.63
,_result,0,2025-01-01T08:16:08.10280038Z,-2.85
,_result,0,2025-01-01T08:31:03.571168787Z,-2.85
,_result,0,2025-01-01T08:46:03.024843421Z,-2.96
,_result,0,2025-01-01T09:01:02.669754759Z,-2.96
,_result,0,2025-01-01T09:16:02.835630615Z,-2.96
,_result,0,2025-01-01T09:31:03.917033196Z,-2.96
,_result,0,2025-01-01T09:46:03.64565505Z,-2.82
,_result,0,2025-01-01T10:01:02.899437778Z,-2.82
,_result,0,2025-01-01T10:16:02.910936412Z,-2.33
,_result,0,2025-01-01T10:31:02.861465451Z,-2.33
,_result,0,2025-01-01T10:46:02.961308503Z,-1.63
,_result,0,2025-01-01T11:01:05.078984997Z,-1.63
,_result,0,2025-01-01T11:16:02.96956111Z,-0.88
,_result,0,2025-01-01T11:31:03.398697889Z,-0.88
,_result,0,2025-01-01T11:46:02.787340827Z,-0.09
,_result,0,2025-01-01T12:01:03.244524024Z,0.26
,_result,0,2025-01-01T12:16:03.981417251Z,0.58
,_result,0,2025-01-01T12:31:02.914448379Z,0.58
,_result,0,2025-01-01T12:46:03.069819233Z,1.24
,_result,0,2025-01-01T13:01:02.902546051Z,1.24
,_result,0,2025-01-01T13:16:02.996972288Z,1.9
,_result,0,2025-01-01T13:31:03.217526245Z,1.9
,_result,0,2025-01-01T13:46:03.33146235Z,2.49
,_result,0,2025-01-01T14:01:03.070235907Z,2.49
,_result,0,2025-01-01T14:16:02.917164445Z,2.85
,_result,0,2025-01-01T14:31:02.777496187Z,2.85
,_result,0,2025-01-01T14:46:03.268268996Z,2.94
,_result,0,2025-01-01T15:01:02.87498744Z,2.9
,_result,0,2025-01-01T15:16:04.670086183Z,2.74
,_result,0,2025-01-01T15:31:03.371085736Z,2.52
,_result,0,2025-01-01T15:46:03.107572713Z,2.29
,_result,0,2025-01-01T16:01:03.065564369Z,2.01
,_result,0,2025-01-01T16:16:02.944920136Z,1.72
,_result,0,2025-01-01T16:31:02.883629898Z,1.38
,_result,0,2025-01-01T16:46:02.797335345Z,1.1
,_result,0,2025-01-01T17:01:03.030125714Z,1.1
,_result,0,2025-01-01T17:16:03.314852957Z,0.55
,_result,0,2025-01-01T17:31:02.643884113Z,0.28
,_result,0,2025-01-01T17:46:03.477102414Z,0.05
,_result,0,2025-01-01T18:01:02.713561243Z,0.05
,_result,0,2025-01-01T18:16:03.649812784Z,-0.5
,_result,0,2025-01-01T18:31:03.570296936Z,-0.5
,_result,0,2025-01-01T18:46:03.07803012Z,-0.92
,_result,0,2025-01-01T19:01:09.96507205Z,-0.92
,_result,0,2025-01-01T19:16:02.932811559Z,-1.31
,_result,0,2025-01-01T19:31:03.684515294Z,-1.31
,_result,0,2025-01-01T19:46:03.339926033Z,-1.61
,_result,0,2025-01-01T20:01:02.778720951Z,-1.61
,_result,0,2025-01-01T20:16:03.468870503Z,-1.84
,_result,0,2025-01-01T20:31:02.742291825Z,-1.84
,_result,0,2025-01-01T20:46:03.674361585Z,-1.98
,_result,0,2025-01-01T21:01:05.055275442Z,-1.98
,_result,0,2025-01-01T21:16:02.760507131Z,-2
,_result,0,2025-01-01T21:31:03.436748739Z,-2
,_result,0,2025-01-01T21:46:02.807925819Z,-1.86
,_result,0,2025-01-01T22:01:03.046251384Z,-1.86
,_result,0,2025-01-01T22:16:02.655464557Z,-1.72
,_result,0,2025-01-01T22:31:03.773897898Z,-1.72
,_result,0,2025-01-01T22:46:02.998183171Z,-1.72
,_result,0,2025-01-01T23:01:02.740744432Z,-1.72
,_result,0,2025-01-01T23:16:11.278060426Z,0.04
,_result,0,2025-01-01T23:31:03.164282679Z,0.04
,_result,0,2025-01-01T23:46:03.557622503Z,0.94
