,result,table,_time,water_height_mm
,_result,0,2024-01-01T00:31:19.195461561Z,-0.76
,_result,0,2024-01-01T02:01:08.003643091Z,1.22
,_result,0,2024-01-01T02:31:04.726502534Z,1.54
,_result,0,2024-01-01T02:46:08.475961147Z,1.84
,_result,0,2024-01-01T03:01:03.160231854Z,2.12
,_result,0,2024-01-01T03:16:03.099754861Z,2.35
,_result,0,2024-01-01T03:31:02.925374479Z,2.35
,_result,0,2024-01-01T03:46:03.126234526Z,3.14
,_result,0,2024-01-01T04:01:03.31269758Z,3.14
,_result,0,2024-01-01T04:16:02.401541539Z,3.32
,_result,0,2024-01-01T04:31:05.205908916Z,3.47
,_result,0,2024-01-01T04:46:03.037372352Z,3.57
,_result,0,2024-01-01T05:01:02.997354668Z,3.59
,_result,0,2024-01-01T05:16:10.453961306Z,3.54
,_result,0,2024-01-01T05:31:06.642080598Z,3.4
,_result,0,2024-01-01T05:46:02.688935907Z,3.21
,_result,0,2024-01-01T06:01:02.710517396Z,2.97
,_result,0,2024-01-01T06:16:02.615542129Z,2.68
,_result,0,2024-01-01T06:31:12.928606442Z,2.36
,_result,0,2024-01-01T06:46:03.010731393Z,2.07
,_result,0,2024-01-01T07:01:33.952897252Z,1.77
,_result,0,2024-01-01T07:16:07.818619217Z,1.49
,_result,0,2024-01-01T07:31:07.672875592Z,1.49
,_result,0,2024-01-01T07:46:05.030429517Z,1.24
,_result,0,2024-01-01T08:01:05.912195821Z,0.73
,_result,0,2024-01-01T08:16:02.724711864Z,0.26
,_result,0,2024-01-01T08:31:11.145097172Z,0.26
,_result,0,2024-01-01T08:46:07.368116033Z,0.03
,_result,0,2024-01-01T09:16:03.350939176Z,0.53
,_result,0,2024-01-01T09:31:03.588396554Z,-0.59
,_result,0,2024-01-01T09:46:04.034797223Z,-0.64
,_result,0,2024-01-01T10:01:43.892219325Z,-0.93
,_result,0,2024-01-01T10:16:03.34298963Z,-1.02
,_result,0,2024-01-01T10:31:03.714878747Z,-1.22
,_result,0,2024-01-01T10:46:03.396790697Z,-1.33
,_result,0,2024-01-01T11:01:02.44998979Z,-1.42
,_result,0,2024-01-01T11:16:03.49397999Z,-1.48
,_result,0,2024-01-01T11:31:03.620180111Z,-1.51
,_result,0,2024-01-01T11:46:03.175827049Z,-1.52
,_result,0,2024-01-01T12:01:03.299028804Z,-1.52
,_result,0,2024-01-01T12:16:03.624784362Z,-1.46
,_result,0,2024-01-01T12:31:02.97898006Z,-1.46
,_result,0,2024-01-01T12:46:03.070953407Z,-1.32
,_result,0,2024-01-01T13:01:03.281290271Z,-1.32
,_result,0,2024-01-01T13:16:02.841014759Z,-0.95
,_result,0,2024-01-01T13:31:03.161145987Z,-0.95
,_result,0,2024-01-01T13:46:02.706336445Z,-0.67
,_result,0,2024-01-01T14:01:03.538147123Z,-0.36
,_result,0,2024-01-01T14:16:02.6432212Z,0.32
,_result,0,2024-01-01T14:31:02.828270292Z,0.32
,_result,0,2024-01-01T14:46:04.801201354Z,1
,_result,0,2024-01-01T15:01:03.782284727Z,1
,_result,0,2024-01-01T15:16:02.382962601Z,1.37
,_result,0,2024-01-01T15:31:03.322816902Z,1.73
,_result,0,2024-01-01T15:46:03.078839422Z,2.44
,_result,0,2024-01-01T16:01:03.496724409Z,2.44
,_result,0,2024-01-01T16:16:02.683804532Z,3.08
,_result,0,2024-01-01T16:31:02.689706178Z,3.08
,_result,0,2024-01-01T16:46:04.303267489Z,3.32
,_result,0,2024-01-01T17:01:11.873070932Z,3.49
,_result,0,2024-01-01T17:16:03.514961153Z,3.74
,_result,0,2024-01-01T17:31:02.953827766Z,3.74
,_result,0,2024-01-01T17:46:03.284981258Z,3.66
,_result,0,2024-01-01T18:01:02.976076861Z,3.66
,_result,0,2024-01-01T18:16:03.301592634Z,3.26
,_result,0,2024-01-01T18:31:03.083659586Z,3.26
,_result,0,2024-01-01T18:46:03.377824962Z,2.97
,_result,0,2024-01-01T19:01:03.498284607Z,2.65
,_result,0,2024-01-01T19:16:02.521058921Z,2.33
,_result,0,2024-01-01T19:31:02.843466598Z,2
,_result,0,2024-01-01T19:46:02.6318176Z,1.71
,_result,0,2024-01-01T20:01:03.062998494Z,1.45
,_result,0,2024-01-01T20:16:04.249919541Z,1.16
,_result,0,2024-01-01T20:31:04.698771062Z,0.9
,_result,0,2024-01-01T20:46:03.920776326Z,0.64
,_result,0,2024-01-01T21:01:04.023015441Z,0.39
,_result,0,2024-01-01T21:16:03.726799135Z,0.17
,_result,0,2024-01-01T21:31:05.165015617Z,-0.07
,_result,0,2024-01-01T21:46:05.790350668Z,-0.48
,_result,0,2024-01-01T22:01:04.91388779Z,-0.48
,_result,0,2024-01-01T22:16:03.727508527Z,-0.48
,_result,0,2024-01-01T22:31:03.994832031Z,-0.48
,_result,0,2024-01-01T22:46:03.217207766Z,-0.66
,_result,0,2024-01-01T23:01:03.371165781Z,-0.66
,_result,0,2024-01-01T23:16:03.082817296Z,-1.29
,_result,0,2024-01-01T23:31:03.488118484Z,-1.29
,_result,0,2024-01-01T23:46:03.024370137Z,-1.32
,_result,0,2024-01-02T00:01:02.933702654Z,-1.31
,_result,0,2024-01-02T00:16:03.219790922Z,-1.13
,_result,0,2024-01-02T00:31:03.191274411Z,-1.13
,_result,0,2024-01-02T00:46:02.808174496Z,-0.93
,_result,0,2024-01-02T01:01:03.301156447Z,-0.7
,_result,0,2024-01-02T01:16:02.69360952Z,0.7
,_result,0,2024-01-02T01:31:02.588248754Z,0.7
,_result,0,2024-01-02T01:46:02.749634698Z,0.4
,_result,0,2024-01-02T02:01:02.858569142Z,0.4
,_result,0,2024-01-02T02:16:03.23160886Z,0.67
,_result,0,2024-01-02T02:31:02.630022154Z,0.95
,_result,0,2024-01-02T02:46:02.696517057Z,1.24
,_result,0,2024-01-02T03:01:03.088069716Z,1.53
,_result,0,2024-01-02T03:16:03.059746356Z,2.07
,_result,0,2024-01-02T03:31:02.94773406Z,2.07
,_result,0,2024-01-02T03:46:02.914823234Z,2.31
,_result,0,2024-01-02T04:01:03.01162487Z,2.5
,_result,0,2024-01-02T04:16:03.249676753Z,2.68
,_result,0,2024-01-02T04:31:03.393152227Z,2.84
,_result,0,2024-01-02T04:46:02.822214331Z,3.03
,_result,0,2024-01-02T05:01:02.811879383Z,3.19
,_result,0,2024-01-02T05:16:04.901167076Z,3.31
,_result,0,2024-01-02T05:31:02.45650567Z,3.38
,_result,0,2024-01-02T05:46:09.80183565Z,3.38
,_result,0,2024-01-02T06:01:05.136531441Z,3.3
,_result,0,2024-01-02T06:16:04.581809022Z,3.13
,_result,0,2024-01-02T06:31:04.42256198Z,2.91
,_result,0,2024-01-02T06:46:02.906807063Z,2.33
,_result,0,2024-01-02T07:01:03.831280785Z,2.33
,_result,0,2024-01-02T07:16:02.457603469Z,1.75
,_result,0,2024-01-02T07:31:03.255114514Z,1.75
,_result,0,2024-01-02T07:46:03.336955657Z,1.2
,_result,0,2024-01-02T08:01:02.567164214Z,1.2
,_result,0,2024-01-02T08:16:02.517938097Z,0.96
,_result,0,2024-01-02T08:31:02.683952434Z,0.71
,_result,0,2024-01-02T08:46:03.437723876Z,0.23
,_result,0,2024-01-02T09:01:02.981966483Z,0.23
,_result,0,2024-01-02T09:16:03.109468126Z,0.7
,_result,0,2024-01-02T09:31:03.279413851Z,0.7
,_result,0,2024-01-02T09:46:03.595616297Z,0.49
,_result,0,2024-01-02T10:01:02.923311576Z,-0.62
,_result,0,2024-01-02T10:16:03.143397781Z,-0.95
,_result,0,2024-01-02T10:31:04.840526629Z,-0.95
,_result,0,2024-01-02T10:46:03.684782106Z,-1.08
,_result,0,2024-01-02T11:01:02.654949528Z,-1.15
,_result,0,2024-01-02T11:16:02.52672142Z,-1.38
,_result,0,2024-01-02T11:31:03.417471114Z,-1.38
,_result,0,2024-01-02T11:46:02.629580489Z,-1.42
,_result,0,2024-01-02T12:01:02.568097063Z,-1.44
,_result,0,2024-01-02T12:16:02.876620979Z,-1.41
,_result,0,2024-01-02T12:31:03.275493351Z,-1.41
,_result,0,2024-01-02T12:46:05.992818721Z,-1.41
,_result,0,2024-01-02T13:01:03.394231077Z,-1.41
,_result,0,2024-01-02T13:16:04.447353541Z,-1.34
,_result,0,2024-01-02T13:31:02.874279771Z,-1.25
,_result,0,2024-01-02T13:46:03.830102132Z,-1.11
,_result,0,2024-01-02T14:01:03.609632811Z,-0.94
,_result,0,2024-01-02T14:16:03.423977477Z,-0.74
,_result,0,2024-01-02T14:31:03.443738058Z,-0.53
,_result,0,2024-01-02T14:46:02.561104886Z,-0.3
,_result,0,2024-01-02T15:01:02.934150431Z,0.85
,_result,0,2024-01-02T15:16:02.97758782Z,0.55
,_result,0,2024-01-02T15:31:03.095131021Z,0.55
,_result,0,2024-01-02T15:46:03.092256164Z,0.85
,_result,0,2024-01-02T16:01:03.331880097Z,1.15
,_result,0,2024-01-02T16:16:02.553066093Z,1.48
,_result,0,2024-01-02T16:31:02.691207633Z,1.82
,_result,0,2024-01-02T16:46:02.928531402Z,2.37
,_result,0,2024-01-02T17:01:02.965676457Z,2.37
,_result,0,2024-01-02T17:16:03.49193411Z,2.59
,_result,0,2024-01-02T17:31:03.231081132Z,2.62
,_result,0,2024-01-02T17:46:03.304102257Z,2.88
,_result,0,2024-01-02T18:01:02.605947741Z,2.88
,_result,0,2024-01-02T18:16:02.446218037Z,2.75
,_result,0,2024-01-02T18:31:02.594738822Z,2.75
,_result,0,2024-01-02T18:46:02.71173284Z,2.62
,_result,0,2024-01-02T19:01:02.810199778Z,2.43
,_result,0,2024-01-02T19:16:03.060927105Z,2.16
,_result,0,2024-01-02T21:01:08.36174602Z,0.05
,_result,0,2024-01-02T21:31:11.884036092Z,0.51
,_result,0,2024-01-02T22:01:04.767733064Z,-0.65
,_result,0,2024-01-02T22:31:03.79042044Z,-0.65
,_result,0,2024-01-02T23:01:03.710377932Z,-0.86
,_result,0,2024-01-03T00:46:07.943532904Z,-1.39
,_result,0,2024-01-03T02:01:05.088171075Z,-0.3
,_result,0,2024-01-03T03:46:09.624494038Z,2.05
,_result,0,2024-01-03T04:01:07.688298333Z,2.05
,_result,0,2024-01-03T04:16:02.716131895Z,2.3
,_result,0,2024-01-03T04:31:03.128152628Z,2.52
,_result,0,2024-01-03T04:46:03.218415884Z,2.74
,_result,0,2024-01-03T05:01:02.903217137Z,2.93
,_result,0,2024-01-03T05:16:03.344822258Z,3.1
,_result,0,2024-01-03T05:31:03.492985049Z,3.22
,_result,0,2024-01-03T05:46:03.34902494Z,3.36
,_result,0,2024-01-03T06:01:02.724391691Z,3.36
,_result,0,2024-01-03T06:16:03.010846907Z,3.36
,_result,0,2024-01-03T06:31:02.442690792Z,3.33
,_result,0,2024-01-03T06:46:02.654637435Z,3.19
,_result,0,2024-01-03T07:01:02.850228646Z,2.97
,_result,0,2024-01-03T07:16:02.92997701Z,2.68
,_result,0,2024-01-03T07:31:02.980095386Z,2.38
,_result,0,2024-01-03T07:46:02.656290834Z,1.78
,_result,0,2024-01-03T08:01:03.251280297Z,1.78
,_result,0,2024-01-03T08:16:02.906829211Z,1.51
,_result,0,2024-01-03T08:31:02.392625618Z,1.25
,_result,0,2024-01-03T08:46:02.917642547Z,1
,_result,0,2024-01-03T09:01:02.85828704Z,0.77
,_result,0,2024-01-03T09:16:04.629731625Z,0.54
,_result,0,2024-01-03T09:31:03.215990341Z,0.3
,_result,0,2024-01-03T09:46:02.478256726Z,0.09
,_result,0,2024-01-03T10:01:02.585004668Z,0.09
,_result,0,2024-01-03T10:16:02.574601902Z,0.43
,_result,0,2024-01-03T10:31:02.657808312Z,0.43
,_result,0,2024-01-03T10:46:03.180094864Z,-0.65
,_result,0,2024-01-03T11:01:02.970808766Z,-0.8
,_result,0,2024-01-03T11:16:04.487890704Z,-0.95
,_result,0,2024-01-03T11:31:03.266474528Z,-1.06
,_result,0,2024-01-03T11:46:02.693966797Z,-1.21
